"user_id","subscribed","subscription_date","coupon","registration_date","last_edit_date","level","gender","age","study_degree","10k_AI_initiative","completed_courses_count","last_completion_date","last_completed_course_degree"
"1190","2","2023-08-22","10k_ai_initiative","2023-07-24 21:25:06","2023-07-24 21:25:06","17","m","26","Graduated","1","4","2023-10-25 19:00:59.615142","97"
"1195","1",NULL,"free_initiative_ai","2023-07-24 21:26:34","2023-07-24 21:26:34","16","f","22","Student","1","2","2023-08-18 20:58:28.647998","100"
"1199","1",NULL,"free_initiative_ai","2023-07-24 21:28:17","2023-07-24 21:28:17","14","f","22","Student","1","3","2023-08-31 03:30:55.970103","98"
"1201","2","2023-08-26","10k_ai_initiative","2023-07-24 21:29:18","2023-07-24 21:29:18","13","f","21","Student","1","1","2023-08-05 18:26:50.616898","84"
"1208","2","2023-08-31","Golden_Coupon","2023-07-24 21:32:02","2023-07-24 21:32:02","12","m","20","Student","1","0",NULL,NULL
"1209","1",NULL,"free_initiative_ai","2023-07-24 21:32:15","2023-07-24 21:32:15","14","m","20","Student","1","3","2023-08-20 13:34:52.279298","91"
"1211","2","2023-08-27","10k_ai_initiative","2023-07-24 21:32:56","2023-07-24 21:32:56","11","f","26","Graduated","1","1","2023-08-04 12:08:12.349264","91"
"1227","2","2023-08-23","10k_ai_initiative","2023-07-24 21:39:38","2023-07-24 21:39:38","11","m","21","Student","1","1","2023-08-04 01:15:05.951049","86"
"1240","1",NULL,"free_initiative_ai","2023-07-24 21:45:14","2023-07-24 21:45:14","11","m","29","Graduated","1","2","2023-09-20 04:41:42.938926","92"
"1243","1",NULL,"free_initiative_ai","2023-07-24 21:46:13","2023-07-24 21:46:13","12","m","21","Student","1","2","2023-08-20 21:24:30.068958","98"
"1252","2","2023-08-23","10k_ai_initiative","2023-07-24 21:50:17","2023-07-24 21:50:17","16","m","23","Graduated","1","3","2023-08-30 16:20:43.954230","94"
"1253","1",NULL,"free_initiative_ai","2023-07-24 21:50:36","2023-07-24 21:50:36","16","f","21","Graduated","1","2","2023-09-19 11:04:26.612683","100"
"1257","1",NULL,"free_initiative_ai","2023-07-24 21:51:46","2023-07-24 21:51:46","13","f","22","Student","1","3","2023-09-20 04:43:36.949068","100"
"1272","1",NULL,"free_initiative_ai","2023-07-24 22:07:23","2023-07-24 22:07:23","18","f","13","Student","1","5","2023-10-25 03:08:06.515261","100"
"1278","1",NULL,"free_initiative_ai","2023-07-24 22:35:35","2023-07-24 22:35:35","18","m","21","Student","1","5","2023-10-24 21:42:28.935746","94"
"1279","1",NULL,"free_initiative_ai","2023-07-24 22:35:53","2023-07-24 22:35:53","15","m","21","Student","1","3","2023-08-27 07:11:55.208225","100"
"1291","2","2023-08-23","Golden_Coupon","2023-07-24 22:41:49","2023-07-24 22:41:49","21","m","26","Graduated","1","7","2023-10-29 10:57:21.529413","100"
"1305","1",NULL,"free_initiative_ai","2023-07-24 22:44:52","2023-07-24 22:44:52","22","f","21","Graduated","1","8","2023-11-03 15:01:21.737400","100"
"1309","1",NULL,"free_initiative_ai","2023-07-24 22:45:38","2023-07-24 22:45:38","12","f","33","Graduated","1","4","2023-10-25 03:23:10.455655","98"
"1310","1",NULL,"free_initiative_ai","2023-07-24 22:45:43","2023-07-24 22:45:43","13","f","21","Student","1","2","2023-08-20 22:17:25.040417","89"
"1312","2",NULL,"Golden_Coupon","2023-07-24 22:46:03","2023-07-24 22:46:03","13","f","20","Student","1","3","2023-09-05 07:56:12.420359","97"
"1314","1",NULL,"free_initiative_ai","2023-07-24 22:46:38","2023-07-24 22:46:38","14","f","32","Graduated","1","3","2023-09-03 15:25:50.062098","94"
