"user_id","course_id","chapter_id","lesson_id"
"932","9","1","6"
"935","1","5","2"
"936","1","2","2"
"936","16","1","5"
"938","1","2","1"
"942","1","4","4"
"942","3","8","7"
"942","4","2","1"
"942","5","1","1"
"942","9","2","2"
"943","1","1","1"
"943","3","3","3"
"943","4","4","1"
"943","5","4","7"
"943","7","2","5"
"943","9","2","5"
"943","11","1","1"
"948","1","2","2"
"950","1","1","1"
"950","4","1","1"
"951","1","6","7"
"951","3","3","7"
"951","4","4","1"
"951","5","3","1"
"951","7","1","1"
"953","1","1","2"
"953","5","2","2"
"954","3","1","1"
"956","1","3","3"
"956","3","7","1"
"956","4","1","1"
"956","11","3","1"
"956","13","1","1"
"957","1","6","7"
"957","3","8","7"
"957","4","3","7"
"957","5","1","1"
"960","1","6","6"
"963","3","1","1"
"964","1","6","6"
"964","3","7","9"
"964","4","2","6"
"964","9","1","2"
"965","1","1","1"
"969","1","6","6"
"969","3","8","5"
"969","4","3","1"
"972","1","2","1"
"972","9","1","1"
"972","10","1","1"
"972","12","1","1"
"973","1","1","2"
"977","16","1","1"
"979","1","6","5"
"979","10","1","2"
"979","12","1","1"
"980","1","1","2"
"980","4","1","1"
"980","5","1","1"
"981","1","5","2"
"984","13","1","2"
"986","1","5","4"
"986","3","8","4"
"986","4","3","6"
"986","5","2","2"
"986","7","2","4"
"986","9","1","6"
"986","14","1","1"
"988","1","1","1"
"989","1","6","7"
"989","3","9","1"
"989","4","3","7"
"989","5","2","4"
"990","1","6","7"
"990","3","4","1"
"992","13","2","3"
"996","1","1","2"
"996","3","5","5"
"996","4","4","1"
"996","5","4","7"
"996","7","2","2"
"996","9","1","5"
"998","1","1","1"
"998","9","1","1"
"998","10","1","1"
"998","12","1","1"
"998","13","1","1"
"998","15","1","1"
"999","4","1","1"
"1003","1","1","1"
"1007","1","4","1"
"1017","1","1","1"
"1019","1","3","4"
"1019","3","3","8"
"1019","4","2","8"
"1019","5","4","4"
"1019","7","2","4"
"1019","9","1","6"
"1019","12","1","1"
"1020","1","1","1"
"1020","3","9","1"
"1020","4","3","7"
"1020","5","4","7"
"1020","15","1","1"
"1022","1","6","5"
"1022","3","6","4"
"1022","4","2","6"
"1022","5","3","1"
"1022","9","2","2"
"1022","10","2","3"
"1022","11","2","2"
"1022","12","7","7"
"1022","13","1","1"
"1022","15","2","7"
"1023","1","1","1"
"1024","1","6","7"
"1024","3","9","1"
"1024","4","3","7"
"1024","5","2","8"
"1024","9","1","1"
"1026","1","1","2"
"1027","1","5","4"
"1027","3","4","8"
"1027","4","2","1"
"1027","5","1","1"
"1027","7","1","1"
"1027","12","1","1"
"1027","13","1","1"
"1027","14","1","1"
"1028","16","1","4"
"1038","1","2","2"
"1038","3","4","9"
"1038","4","1","1"
"1038","5","1","1"
"1039","1","2","1"
"1039","4","1","1"
"1039","11","2","2"
"1040","1","6","7"
"1040","3","5","4"
"1040","4","4","1"
"1040","5","4","6"
"1043","1","5","6"
"1043","3","8","6"
"1043","4","4","1"
"1043","5","4","6"
"1043","7","2","3"
"1043","9","2","5"
"1043","10","4","3"
"1043","11","5","3"
"1043","12","7","7"
"1043","13","3","3"
"1043","14","3","1"
"1043","15","1","1"
"1043","16","1","5"
"1045","1","5","1"
"1045","4","1","1"
"1047","1","5","5"
"1047","3","7","8"
"1047","4","3","7"
"1047","5","2","1"
"1054","1","3","1"
"1059","1","6","7"
"1059","3","7","5"
"1059","4","1","1"
"1059","5","1","1"
"1061","1","3","1"
"1062","1","5","2"
"1062","3","7","5"
"1082","1","1","2"
"1085","1","6","4"
"1085","3","8","4"
"1085","4","3","2"
"1085","5","2","1"
"1085","7","2","4"
"1085","9","2","1"
"1085","11","5","1"
"1085","12","2","1"
"1085","13","1","1"
"1085","15","1","1"
"1085","16","1","1"
"1088","1","2","1"
"1089","1","6","7"
"1090","1","6","7"
"1090","3","4","1"
"1095","1","2","2"
"1096","1","3","1"
"1096","3","2","6"
"1096","4","1","1"
"1097","1","3","4"
"1100","1","3","1"
"1100","14","1","1"
"1104","1","5","4"
"1104","3","4","3"
"1105","3","1","1"
"1108","1","6","7"
"1108","3","6","5"
"1108","4","4","1"
"1108","5","4","3"
"1113","1","3","2"
"1113","15","1","1"
"1114","1","1","2"
"1114","3","2","2"
"1116","1","4","4"
"1116","3","9","1"
"1116","4","4","1"
"1116","5","1","1"
"1118","1","4","4"
"1118","3","8","2"
"1118","4","4","1"
"1118","5","1","6"
"1121","1","6","1"
"1121","3","4","8"
"1124","1","2","3"
"1124","3","2","1"
"1124","4","2","1"
"1124","5","2","10"
"1124","9","1","1"
"1124","10","1","1"
"1126","1","5","1"
"1128","1","6","6"
"1128","3","7","6"
"1128","4","4","1"
"1128","5","1","1"
"1129","1","5","1"
"1129","3","7","11"
"1129","4","4","1"
"1129","5","4","5"
"1129","7","1","7"
"1129","9","2","1"
"1129","11","1","2"
"1131","1","1","2"
